roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1,threshold,business_score
0.842900875765326,0.653878092576806,0.13658931851387024,0.7700496806245565,0.5504032258064516,0.7299465240641712,0.6275862068965518,0.33999999999999986,0.6671063696739693
0.842900875765326,0.653878092576806,0.13658931851387024,0.772888573456352,0.5569620253164557,0.7058823529411765,0.6226415094339622,0.34999999999999987,0.6537602382725243
0.842900875765326,0.653878092576806,0.13658931851387024,0.772888573456352,0.5584415584415584,0.6898395721925134,0.6172248803827751,0.3599999999999999,0.6438502673796791
0.842900875765326,0.653878092576806,0.13658931851387024,0.7785663591199432,0.5688888888888889,0.6844919786096256,0.6213592233009708,0.3699999999999999,0.6440308972073677
0.842900875765326,0.653878092576806,0.13658931851387024,0.7835344215755855,0.5782312925170068,0.6818181818181818,0.6257668711656442,0.3799999999999999,0.6455627705627706
0.842900875765326,0.653878092576806,0.13658931851387024,0.7856635911994322,0.5837209302325581,0.6711229946524064,0.6243781094527363,0.3899999999999999,0.6405322721054596
0.842900875765326,0.653878092576806,0.13658931851387024,0.7849538679914834,0.5851318944844125,0.6524064171122995,0.6169405815423514,0.3999999999999998,0.6288603341925391
0.842900875765326,0.653878092576806,0.13658931851387024,0.7899219304471257,0.5975,0.6390374331550802,0.6175710594315246,0.4099999999999998,0.6244993315508022
0.842900875765326,0.653878092576806,0.13658931851387024,0.7892122072391767,0.6,0.6176470588235294,0.6086956521739131,0.4199999999999998,0.6114705882352941
0.842900875765326,0.653878092576806,0.13658931851387024,0.7892122072391767,0.6026666666666667,0.6042780748663101,0.6034712950600801,0.4299999999999998,0.603714081996435
0.842900875765326,0.653878092576806,0.13658931851387024,0.7920511000709723,0.6115702479338843,0.5935828877005348,0.6024423337856174,0.43999999999999984,0.5998784637822071
0.842900875765326,0.653878092576806,0.13658931851387024,0.7934705464868701,0.6162464985994398,0.5882352941176471,0.6019151846785226,0.44999999999999984,0.5980392156862746
0.842900875765326,0.653878092576806,0.13658931851387024,0.7977288857345636,0.6289855072463768,0.5802139037433155,0.6036161335187761,0.45999999999999985,0.597283964969387
0.842900875765326,0.653878092576806,0.13658931851387024,0.794889992902768,0.6276276276276276,0.5588235294117647,0.5912305516265912,0.46999999999999986,0.5829049637873167
0.842900875765326,0.653878092576806,0.13658931851387024,0.7998580553584103,0.6428571428571429,0.553475935828877,0.5948275862068966,0.47999999999999976,0.58475935828877
0.842900875765326,0.653878092576806,0.13658931851387024,0.7970191625266146,0.6437908496732027,0.5267379679144385,0.5794117647058824,0.48999999999999977,0.5677064765300059
